16
0 6 3 B 0 E C 0 0 A 0 0 8 0 0 0 
0 8 4 7 0 0 A 6 0 0 B 0 0 0 0 9 
0 0 0 0 0 8 1 0 D 0 G 0 0 0 7 E 
0 0 0 0 0 0 0 7 0 0 9 8 0 0 0 C 
F 0 D 0 0 0 0 0 A C 0 0 2 0 0 0 
0 0 0 0 D 0 0 0 0 0 E 1 0 0 5 0 
C E 0 0 0 0 0 0 6 0 0 0 G F 0 3 
1 A 0 9 0 0 0 B 8 G 7 0 4 0 0 D 
2 0 E 0 0 0 4 5 0 0 0 0 6 9 0 F 
0 7 0 0 0 0 0 0 E 0 0 A 0 0 0 5 
0 0 9 4 0 0 6 0 0 0 0 0 0 D 0 0 
0 0 0 6 3 0 0 F 7 9 0 5 0 0 0 A 
0 0 0 0 E 6 0 D 0 1 0 0 0 2 0 8 
0 0 0 3 G 0 F A 5 6 0 0 0 0 0 0 
0 D 0 C 0 0 0 9 0 0 0 B 1 0 6 0 
0 2 0 0 B 0 5 C 9 0 0 0 0 0 3 4 
