16
0 B 0 2 9 3 0 F 0 0 C 0 0 0 0 0 
0 0 7 0 B 0 0 5 0 0 0 0 0 0 C 0 
0 9 0 0 C 0 0 0 2 4 7 0 F 0 0 0 
E F 0 0 6 0 0 0 0 9 B 0 3 D 0 0 
F 0 0 0 5 8 G 0 0 0 0 0 0 0 0 0 
0 0 B 3 0 0 0 0 0 0 2 F 1 0 7 0 
0 0 0 0 E 0 0 0 1 0 8 0 0 C 0 D 
0 0 0 1 0 0 0 3 0 D 0 0 0 G 0 0 
4 0 6 0 0 0 2 0 3 0 0 9 A 0 8 0 
1 2 0 0 G 0 8 6 0 F 0 0 0 0 0 0 
A 7 0 0 0 0 C 0 0 0 4 1 9 0 G 0 
0 0 0 0 0 E 0 0 5 0 0 0 0 7 4 3 
7 0 0 0 0 0 0 0 0 0 0 B 0 3 0 C 
0 8 0 0 0 D F 0 0 0 0 0 0 E 9 6 
0 E 0 6 0 0 0 9 0 0 0 0 0 0 D 8 
0 0 G 0 0 7 0 0 C 0 0 4 0 0 0 A 
