16
9 0 6 D 0 F 0 2 4 0 0 0 0 0 0 0 
0 0 0 0 1 0 A 0 0 0 0 0 0 D 0 0 
0 0 F 0 0 0 0 0 6 0 0 D E G 4 B 
G 8 0 0 0 7 0 0 5 0 A F 0 0 6 0 
0 5 0 0 0 1 0 7 G 2 0 0 0 B 0 0 
0 0 0 0 4 0 2 0 0 0 5 0 0 9 7 0 
6 0 0 0 0 3 0 0 0 9 0 0 D 0 0 A 
C A 0 4 0 0 0 8 0 6 0 B 0 0 0 0 
0 0 1 0 B 5 0 F 0 0 9 0 3 0 0 0 
0 6 0 0 7 0 0 D 0 E 2 0 5 0 F 0 
B 0 0 0 0 C 0 0 0 8 4 0 6 0 0 0 
3 0 0 0 0 0 0 9 0 A 0 0 0 0 0 0 
7 0 0 C 2 0 9 0 D F 0 0 B 4 G 0 
0 0 0 0 8 0 0 0 0 B 1 0 F 0 0 0 
0 9 0 0 0 0 0 0 3 0 0 0 C 0 A 8 
0 3 G 0 0 D 1 0 2 0 0 0 0 0 0 0 
