16
0 B 0 0 0 0 0 4 C F 0 A 0 0 G 0 
0 0 0 0 0 D 6 0 7 3 0 1 0 0 0 9 
0 0 0 G 0 7 0 C 4 5 0 0 0 0 D 0 
A 0 0 4 3 0 0 0 0 2 0 0 6 0 5 0 
0 C 0 0 0 9 0 E 0 4 5 2 B 0 0 0 
6 D 0 0 0 8 4 0 0 G 0 F 0 0 0 0 
0 5 0 0 6 G C 0 0 0 0 0 3 0 0 1 
0 0 0 9 0 0 F 0 0 0 0 D 0 G 0 8 
0 E 0 0 F 0 0 0 0 0 0 0 0 1 8 3 
0 0 9 0 0 0 0 0 2 0 7 6 F 0 0 A 
7 0 0 0 0 0 0 0 3 0 F 8 C 5 0 0 
C 0 0 0 2 E 5 0 0 0 0 0 0 0 4 0 
0 2 G C 0 5 0 0 0 8 1 0 0 E 0 0 
0 0 A 0 0 0 3 9 0 0 D 0 0 0 0 6 
9 0 0 0 0 0 0 F 5 0 0 0 0 0 0 0 
0 8 F E 7 0 0 0 0 6 0 0 0 2 1 0 
