16
0 2 3 E 0 0 6 0 0 5 8 D 0 A 4 C 
5 7 0 D 0 0 0 0 0 6 0 0 0 0 8 0 
0 0 0 0 0 0 8 0 4 E 7 0 0 0 0 6 
0 0 9 0 G 0 0 A 1 0 F 0 0 0 0 0 
0 0 0 7 A 0 E B 0 0 0 4 3 0 0 0 
0 0 G 0 0 0 0 8 0 D 0 0 2 0 9 0 
3 0 C 0 0 0 0 G E 0 A 0 0 7 0 4 
6 A D 0 0 0 0 3 F 0 0 5 0 8 0 0 
0 D A 0 0 6 2 F 3 0 B 0 C 0 G 0 
0 0 0 G B C 0 0 0 0 0 2 E 0 0 0 
0 0 0 0 0 0 0 0 0 F 0 6 4 0 A 2 
0 5 8 0 0 0 0 0 0 0 0 0 0 1 0 0 
9 0 0 0 0 F 0 0 0 7 0 G 0 0 5 3 
0 0 6 0 8 G 0 C 0 0 3 0 1 0 0 0 
F 0 0 0 0 5 D 0 8 0 0 0 0 0 B 0 
0 C 2 0 1 0 0 9 0 0 0 0 0 F 0 D 
