16
0 C 0 0 8 0 0 0 0 A 0 2 0 0 5 0 
1 0 0 0 0 0 0 0 5 0 8 0 4 2 6 0 
A 0 4 0 0 F 0 6 0 0 0 0 0 0 G B 
9 0 F 0 1 0 0 0 6 3 0 4 C 0 0 0 
0 1 D 5 4 0 0 G 0 0 0 9 0 0 0 0 
0 0 C 0 0 5 0 3 0 6 0 B 0 E 0 1 
0 7 0 0 0 6 A 8 2 0 E 5 0 B 0 0 
0 G 0 0 0 1 0 F 0 0 A 0 0 0 9 0 
0 0 0 0 9 0 E 0 0 0 B 8 0 5 0 0 
G 3 0 0 C 0 0 0 0 0 0 0 7 0 A 0 
0 0 5 C 0 0 0 0 0 0 0 0 0 9 F 0 
0 2 0 A 0 0 7 4 0 0 0 0 0 D 0 0 
0 0 7 0 0 0 0 0 9 0 0 D 3 0 0 0 
3 0 0 0 A 0 0 0 0 E 6 0 2 0 0 0 
E 0 0 0 G 8 0 0 C 2 0 0 0 6 1 F 
0 4 0 0 0 0 0 7 0 0 G 0 0 C 0 0 
