16
0 0 B G 3 0 0 9 0 0 0 0 7 0 0 0 
0 D 1 0 6 0 7 0 0 3 0 0 4 5 8 0 
4 0 0 0 0 0 0 0 5 9 0 0 0 6 D B 
0 0 6 0 2 0 0 0 A 0 0 0 1 0 0 F 
0 0 9 C 0 D 1 0 0 0 0 0 0 0 F 0 
0 0 0 0 0 E 0 0 0 0 5 0 0 B 0 0 
7 0 A 0 0 0 8 0 B 0 0 D E 0 0 4 
0 0 0 0 A 7 3 0 E 4 C F 0 0 0 0 
0 0 5 1 0 0 0 0 0 6 F A 0 0 0 C 
3 0 8 0 0 G 0 D C 2 0 0 0 E 0 0 
D 0 0 A 5 0 0 8 0 0 0 0 3 0 1 0 
0 B 0 0 F 0 0 3 0 0 0 E 0 0 0 7 
0 1 D 0 0 4 0 F G 0 3 9 6 0 0 0 
8 0 0 0 0 0 0 0 0 0 0 C 0 0 0 0 
0 F 0 0 E B 2 0 0 0 0 4 C G 0 A 
9 0 0 E 0 0 0 0 0 0 7 0 0 0 0 3 
