16
0 8 0 0 0 0 E 0 0 2 0 0 B 0 0 F 
0 0 C 0 7 6 0 0 B D 0 0 0 0 0 9 
0 7 0 4 0 0 0 5 0 0 G 9 0 0 3 0 
5 G 0 0 1 0 3 0 0 8 0 4 0 0 0 0 
0 0 E 0 0 0 0 6 4 0 0 0 0 0 B A 
0 1 2 0 B 0 0 8 0 0 0 0 3 0 0 C 
C 0 0 0 E 0 0 0 0 0 D 0 8 0 0 0 
0 0 D 5 0 F 0 0 E 0 0 G 6 4 0 0 
0 2 0 E 0 5 9 0 0 4 0 0 0 0 1 0 
0 0 0 0 0 0 0 A 1 G 0 0 0 E 0 0 
0 0 7 A G C 2 0 3 0 0 B F 0 D 0 
F 0 0 0 0 0 0 3 0 A 0 0 0 0 9 0 
0 E 0 9 2 0 0 0 0 0 7 5 0 0 4 1 
0 0 A 0 0 D 1 0 F B 0 0 0 0 7 0 
0 0 0 8 0 0 0 0 0 E 0 C A 0 0 0 
0 C 0 G 0 0 4 0 0 0 0 0 0 5 0 8 
