16
E 8 0 A 0 0 0 B 0 0 0 0 0 1 7 0 
0 G 9 0 0 0 0 0 0 F E 0 4 5 0 0 
0 5 0 0 0 0 6 0 0 0 0 0 0 0 0 0 
0 0 0 0 8 0 0 0 4 2 3 6 0 0 B D 
0 0 0 0 0 6 G 0 0 0 0 8 0 9 0 0 
0 0 0 2 F E B 9 0 0 0 7 0 6 0 C 
F 0 0 0 A 0 C 0 0 0 0 0 0 0 0 4 
0 D 0 0 0 0 8 0 0 0 0 4 B 0 1 0 
D 6 F 4 0 0 2 A 8 0 0 0 1 0 5 0 
1 0 0 E 0 0 0 0 6 0 0 0 0 D A 0 
0 0 0 0 0 0 3 0 0 0 9 0 0 0 2 0 
0 0 0 0 B 0 0 F G 7 0 0 0 0 9 E 
0 7 C 8 0 0 0 0 3 0 0 0 0 B 0 0 
4 2 0 D 0 0 0 0 0 A 0 0 0 7 0 F 
0 0 0 0 0 1 A 0 C 5 0 0 8 0 0 2 
0 0 0 6 0 9 0 G 1 0 0 0 0 0 0 0 
