16
0 0 2 0 0 0 0 4 7 9 0 3 A 0 F 0 
0 3 0 1 0 0 C 0 0 A 0 0 0 0 0 0 
7 0 0 D 0 0 0 0 8 0 E 0 0 6 0 4 
F 0 0 0 0 G 0 6 0 0 0 0 0 0 1 0 
0 0 0 A 1 9 F 2 0 0 0 4 0 0 0 0 
G 0 0 0 0 0 0 0 0 0 0 D 3 0 0 0 
0 B C 3 A 0 0 5 0 0 9 0 F 0 0 7 
E 9 0 0 0 8 0 3 0 5 G 0 D 0 0 0 
0 0 D C 0 0 0 9 0 E 0 7 4 0 0 0 
0 G 4 7 2 0 0 0 0 0 0 0 9 5 A 0 
3 0 0 0 0 0 0 0 0 0 0 F 0 G 6 8 
0 0 0 0 G 0 0 0 C 0 1 0 0 0 D 0 
0 0 0 6 0 F 0 8 A 1 0 0 E 0 0 2 
0 0 0 0 9 2 0 0 0 4 0 0 0 0 8 0 
0 8 9 0 D 0 7 0 2 3 0 0 0 0 0 B 
0 0 0 B 0 5 0 0 D 0 0 0 0 7 0 3 
