16
0 C 6 0 0 0 1 0 0 5 4 0 0 0 3 0 
0 0 A 0 0 0 0 0 0 D 0 0 2 0 E 0 
0 0 0 0 9 G 8 0 1 0 2 0 7 0 0 0 
0 0 0 0 D 0 A 0 C 8 0 F 0 0 0 1 
0 0 0 0 0 0 0 B 0 0 0 0 0 F 7 0 
C 3 0 0 0 8 0 0 G B 0 E 0 0 0 0 
1 0 0 0 0 0 0 4 0 3 0 2 0 0 0 0 
0 0 0 2 1 0 0 9 0 0 6 C D 0 0 0 
0 0 G 0 2 F 0 1 5 0 0 0 B 0 0 3 
F 0 4 0 0 0 0 0 0 6 0 3 0 0 0 5 
8 0 D 0 6 0 0 0 F 0 0 0 0 1 0 E 
7 6 0 0 0 3 G 0 0 9 0 0 0 8 0 0 
G 5 0 0 0 7 3 A 0 0 1 8 0 6 0 0 
0 0 0 0 0 0 5 0 0 2 0 6 0 0 B 7 
9 E 0 0 0 0 0 0 B 0 0 7 0 D 5 F 
B 0 0 0 F 4 9 D 0 0 0 0 G 0 0 0 
