16
0 0 0 0 0 1 8 0 E A 0 0 0 0 F 0 
5 1 B 0 4 0 0 3 0 0 0 0 0 0 0 0 
0 0 0 C 0 0 0 B 0 4 0 0 1 0 0 0 
0 0 0 E 0 A F 0 0 G 0 B 8 0 0 6 
0 5 0 0 0 0 0 0 0 0 0 D 7 0 0 0 
0 4 0 0 8 0 0 0 0 C F 3 E 0 9 A 
7 G 3 0 F 0 0 0 0 0 0 0 0 1 0 0 
0 8 0 0 A 0 0 0 0 0 2 0 3 0 0 5 
3 0 0 0 0 0 G C 1 0 5 0 0 9 6 8 
0 0 2 F 0 0 5 0 7 0 6 0 B 0 0 0 
0 0 0 4 E 0 0 0 0 0 0 0 0 D 0 7 
G A 0 0 0 2 0 0 0 0 8 0 0 0 0 C 
0 0 0 9 C 0 0 0 6 0 D 4 G 0 8 0 
0 0 0 1 0 0 D 7 0 8 0 0 0 0 A 0 
0 0 A 0 1 0 0 G 0 0 0 0 D C 0 3 
0 0 C 0 3 0 0 5 0 0 0 E 0 0 2 0 
