16
E F 3 0 0 5 0 0 C 1 B 0 0 D 0 0 
0 0 0 1 0 C 0 0 0 0 9 4 0 0 0 7 
0 0 5 D 0 F 0 0 0 0 G 0 E 0 0 0 
0 B 0 0 0 3 0 4 7 0 0 0 0 0 0 0 
0 0 0 8 7 0 0 0 D F 0 0 0 3 4 0 
0 0 0 0 0 0 2 0 0 0 C A 0 6 8 0 
0 0 0 0 3 0 0 0 0 0 0 0 1 2 A C 
F 0 0 0 0 1 0 9 0 B 7 0 0 0 0 0 
B 0 0 0 4 0 5 8 0 0 6 E 0 0 0 0 
0 C 0 0 0 B 0 0 0 0 0 0 5 G 0 A 
0 A 6 0 0 D 0 0 0 0 3 0 0 F 1 0 
8 E 0 0 A 0 G 0 0 2 0 0 0 0 0 9 
1 8 9 0 0 0 0 0 0 0 F 5 0 4 0 0 
2 0 0 7 6 0 0 0 0 A 0 0 0 5 D 0 
0 0 0 4 C 0 0 B 0 0 0 0 0 0 0 0 
0 0 0 A 0 G 0 0 0 0 D 2 0 0 B 0 
