16
E 9 2 0 0 0 0 0 0 7 4 5 0 0 B 6 
7 0 6 0 D 0 0 0 0 0 0 1 0 2 0 0 
0 0 0 B C 0 0 6 3 0 0 0 0 0 A 7 
0 0 0 0 0 8 0 0 D G 0 0 0 0 0 0 
0 5 0 F 9 0 0 3 0 0 7 0 0 0 0 2 
0 E G 0 0 0 0 0 5 0 B 0 0 0 0 1 
0 6 8 C 0 E 0 D 1 0 0 0 3 0 0 0 
0 0 0 0 4 0 0 0 0 0 0 3 0 A F 0 
2 0 E D 0 0 A 0 4 0 0 0 7 5 C 0 
0 G C 0 0 0 0 0 0 3 F 0 0 0 0 B 
0 4 0 6 0 0 3 0 0 9 0 0 0 1 0 0 
0 0 0 0 5 4 0 0 G C 0 0 0 0 E D 
1 0 3 0 0 0 6 0 2 0 9 0 0 D 0 0 
0 B 5 0 E 0 0 0 0 F 0 0 0 0 0 0 
G 0 0 0 A 0 0 7 0 0 0 0 0 C 9 0 
0 0 0 0 0 9 0 C A 1 E 0 4 3 5 0 
