16
0 G 4 0 0 0 0 0 0 0 0 0 0 B 8 0 
0 0 E 0 2 0 8 0 1 0 0 7 0 0 5 0 
0 0 0 0 0 B 0 F 2 6 0 0 9 0 0 3 
B 0 0 D A 0 0 0 0 F 0 9 0 0 E 0 
2 0 0 0 0 A 1 0 0 0 0 0 7 8 6 G 
5 6 1 0 C 0 0 4 0 0 0 3 2 0 0 0 
0 0 0 C 0 0 0 0 0 0 9 F 0 5 A 0 
0 0 0 0 G 6 0 0 0 0 0 0 0 9 0 0 
F 0 0 0 5 1 G 0 0 2 0 0 0 0 0 0 
D 8 C 0 0 0 0 9 0 0 E 0 0 6 7 0 
0 E 0 0 0 0 F 0 A D 4 0 C 0 0 B 
0 0 0 7 0 0 0 D 8 0 0 0 0 0 0 0 
C 0 0 E 6 9 0 B 0 0 0 0 5 1 0 0 
0 9 8 0 0 0 E 0 0 0 3 0 0 0 0 D 
0 0 G 0 7 3 5 0 0 0 A 4 F 0 0 0 
0 0 3 5 0 0 0 A 0 0 0 2 0 0 4 0 
