16
7 4 0 0 0 6 E 0 0 0 0 9 0 0 0 0 
0 0 A 0 0 0 0 0 C 4 0 5 0 8 0 0 
0 2 5 0 0 0 C 0 0 0 G E 0 9 B 0 
1 0 0 0 0 0 A 8 0 F 0 0 0 D 5 6 
0 0 G 0 8 4 0 0 E B 0 0 0 0 0 0 
0 0 0 0 0 0 D 3 9 G 0 A 5 0 0 F 
0 D E 0 0 C 0 0 0 0 7 3 2 0 8 0 
0 0 0 9 0 0 0 0 D 0 0 0 0 B 0 0 
G 0 2 0 0 0 0 1 0 3 E 0 7 0 0 0 
C 0 0 0 0 0 5 0 F 0 0 0 B 0 1 D 
F 6 9 3 A 0 0 0 0 0 0 7 0 E 0 0 
0 0 0 0 4 0 0 F 0 0 0 0 0 0 2 0 
0 0 8 5 0 0 6 2 0 0 C 0 0 0 0 G 
6 A 0 0 1 0 4 C 0 0 0 0 0 0 0 3 
E 0 0 B 0 3 0 0 A 6 2 0 0 0 7 0 
0 0 1 0 0 0 0 G 4 0 3 0 0 0 D 0 
