16
0 9 0 4 0 2 C 5 0 G 0 0 0 0 7 0 
A 0 0 0 0 0 0 0 0 0 8 3 2 4 0 0 
0 0 B 0 0 0 F 0 0 0 0 0 5 0 0 0 
0 0 G 0 0 0 0 0 0 0 0 E 0 A 8 B 
0 D 0 0 0 0 1 0 0 0 0 0 F 0 2 0 
9 6 0 0 3 0 4 2 0 E 0 0 0 8 0 1 
5 0 0 0 C 7 0 0 0 A 6 0 0 0 0 0 
0 0 1 0 0 0 B A 0 0 0 0 0 0 9 5 
0 E 7 0 0 0 0 F 0 0 0 D 0 2 C 0 
0 0 0 3 0 0 0 9 0 5 0 0 B 0 4 8 
0 0 0 B 4 0 0 6 C 0 2 0 1 0 0 9 
2 0 0 0 0 0 8 E A 1 0 4 0 6 0 0 
0 0 0 0 0 0 0 0 B C 0 0 0 G E 0 
8 0 6 7 0 0 3 0 F 0 0 0 0 1 0 0 
1 5 0 A G 0 0 0 0 9 0 0 0 0 0 4 
0 C 2 0 0 8 0 0 0 6 3 0 0 0 0 0 
