16
0 0 F 7 0 5 0 0 0 0 2 1 0 0 0 0 
0 0 C 0 3 0 A 0 4 6 0 0 1 0 0 E 
0 0 0 0 0 1 0 G A 0 D 0 0 6 3 C 
6 4 0 0 7 2 0 0 0 0 9 0 0 0 D B 
0 0 0 1 0 0 0 0 0 5 C 9 0 F 2 0 
4 0 0 8 0 0 0 0 0 0 0 0 3 0 0 0 
0 C 0 2 B E 8 0 7 0 G 0 9 0 0 0 
0 G 0 0 0 0 0 A F 4 0 0 0 1 0 0 
0 0 0 C 0 3 0 F 0 2 4 0 7 0 0 0 
0 B 0 0 0 0 6 0 0 3 7 0 0 0 1 0 
0 0 0 0 9 0 0 0 6 0 0 0 0 A 0 0 
5 1 D 0 0 0 0 C E 0 0 0 F 0 0 0 
7 0 0 0 0 0 0 0 D 0 0 0 B 0 4 0 
0 9 0 F 0 G 1 E 0 0 0 0 0 0 0 0 
0 0 0 0 2 B 0 0 0 0 0 E 0 3 0 D 
E 0 6 0 0 0 7 0 0 0 0 8 0 0 A 0 
