16
9 0 0 0 0 4 8 0 0 7 B 0 0 0 0 0 
6 0 0 0 F 0 0 0 0 0 0 0 A 9 2 E 
0 C G 0 0 0 0 2 3 D 0 0 0 0 0 5 
0 8 E 0 0 0 0 A 0 C 0 0 0 0 0 4 
0 0 D 0 G 2 0 0 4 3 1 0 0 0 0 6 
0 A 4 3 0 F D 0 0 2 0 0 0 0 G 0 
1 0 0 9 0 0 B 0 0 0 0 6 4 C 0 0 
0 0 0 0 0 0 4 0 F 0 G 0 E 3 0 0 
D 5 0 0 0 0 G 0 0 0 0 0 0 B 1 3 
0 7 0 0 5 9 0 0 0 0 0 0 2 0 0 0 
B 0 0 0 C 1 0 F 5 0 8 7 0 0 0 0 
0 0 9 0 0 0 0 6 0 F 0 0 0 G 0 0 
0 0 F 5 B 0 0 9 0 0 D G 0 E 8 0 
0 0 0 8 A 0 0 5 0 E 3 0 0 0 0 B 
7 6 0 0 0 0 0 E 1 0 0 F 0 4 9 0 
0 D 0 0 0 0 2 0 0 0 0 9 5 1 0 0 
