16
0 9 D 0 5 0 0 0 0 0 3 A 0 F 8 0 
0 0 0 7 0 0 0 0 0 0 2 0 C 0 0 G 
B 8 0 0 0 6 E 0 0 0 0 C 0 3 A 0 
0 E 0 0 0 A 4 0 5 0 0 0 0 B 0 0 
0 0 0 1 0 0 0 3 G 0 0 0 6 0 0 0 
0 0 0 0 4 B 0 C 0 2 0 6 7 0 F 0 
8 0 B 0 0 2 6 0 0 0 0 D 0 G 0 1 
0 0 0 3 1 0 0 0 F 0 B 0 0 0 9 0 
0 0 E 2 C 0 0 G 0 0 0 0 0 9 0 0 
4 0 6 0 B F 0 0 0 1 C 0 0 0 0 0 
F 0 0 0 0 0 0 0 0 0 7 0 D C 6 2 
D 0 0 0 0 5 3 0 0 4 0 8 0 E 0 0 
0 0 0 0 0 3 0 0 0 0 0 0 0 A 0 E 
0 F 0 B 0 G 0 7 0 0 0 5 0 0 3 0 
0 0 1 0 0 0 0 A 3 G 4 7 0 0 0 9 
2 0 0 C F 0 0 0 0 0 9 0 5 8 0 B 
