16
0 0 0 A 0 5 0 0 0 B 7 0 G 0 3 1 
0 0 0 0 0 0 B F 0 9 0 0 0 0 0 0 
0 0 0 1 0 6 0 0 5 C 2 0 0 0 0 B 
0 2 0 0 0 0 0 0 0 0 0 0 9 0 D 0 
0 A 0 5 0 8 0 0 0 2 G 0 B 0 0 0 
1 F 3 0 0 0 G 0 0 0 0 D 0 6 A 0 
0 0 0 G 0 0 1 0 0 0 E 0 F 0 0 0 
D B 0 4 0 7 6 0 0 0 0 0 0 0 8 3 
0 0 0 0 9 0 0 E 1 0 0 0 A 5 0 D 
E 0 0 3 2 0 0 0 0 7 0 6 0 0 0 0 
8 0 G 0 1 0 0 0 2 0 0 B 6 0 0 0 
0 0 0 0 0 0 0 0 0 F C A 0 0 B 2 
0 0 F 0 6 0 E 5 0 0 0 8 3 0 0 0 
0 8 D 0 G 2 0 0 0 6 4 0 0 0 1 0 
4 C 0 0 0 0 0 0 0 0 0 3 0 0 0 0 
0 0 E 0 0 F 0 0 D 0 1 0 0 0 7 C 
