16
0 0 E B 5 0 3 0 F 4 0 0 0 0 9 0 
0 0 0 0 0 7 0 G 0 0 D 3 0 0 C 0 
F 0 9 2 0 0 0 0 C 5 0 0 0 0 0 0 
0 1 0 0 0 0 4 8 0 0 7 0 D 0 0 0 
0 0 0 0 0 0 0 4 0 C G 0 0 0 B 0 
0 0 0 6 B C 0 0 2 0 0 0 0 3 5 1 
0 C 7 3 0 F 0 0 B 0 0 4 0 9 0 0 
0 0 1 0 0 0 E 0 0 D 0 0 0 0 6 0 
0 0 0 0 4 0 0 D A 9 0 0 G 0 0 0 
0 8 5 0 0 0 0 1 E 2 0 0 B 0 0 0 
9 0 C 0 0 8 0 0 0 0 0 6 0 0 0 A 
0 0 4 0 0 0 0 3 0 0 0 0 0 8 0 D 
E 0 0 0 0 0 G B 1 0 A 0 9 7 8 0 
5 0 2 0 0 0 8 0 0 F 0 0 0 B 0 0 
4 9 0 0 0 0 2 E 0 0 0 G 5 D 0 0 
3 0 G 1 6 0 0 0 0 0 0 B E F 0 0 
