16
0 E B 0 0 0 0 A 0 0 F 1 8 0 0 5 
0 0 A 9 7 0 0 0 0 0 0 0 0 3 C 0 
0 5 G 0 0 0 4 3 0 0 B 0 0 0 0 E 
C 0 1 0 0 0 0 F 0 A 3 8 0 0 0 0 
2 6 0 0 0 0 0 1 0 0 0 4 0 F 0 0 
5 0 0 0 0 2 0 0 0 0 0 9 0 0 0 G 
0 3 0 8 0 G 0 6 C 0 0 F 0 0 0 0 
0 0 E 0 0 0 D 0 0 0 5 0 B 0 A 0 
E 0 0 0 B 8 0 0 0 7 0 C 0 4 0 0 
0 D 0 0 0 0 0 4 0 0 0 0 3 5 0 0 
B 0 5 F 0 6 0 0 0 0 0 0 0 C 0 7 
4 9 0 0 A 7 0 5 0 D 0 2 0 G F 0 
8 0 7 0 0 0 E 0 6 0 G 0 0 A 0 0 
0 G 2 B 5 0 0 0 0 0 0 0 4 0 9 0 
0 0 0 0 6 0 0 0 0 8 1 0 7 0 0 3 
0 0 0 0 0 C 0 0 2 B 0 A 0 0 G D 
