16
0 0 0 0 F D 0 0 0 5 3 7 0 4 0 B 
0 D 0 0 0 6 0 7 0 4 0 0 0 0 0 0 
0 B 0 0 0 0 0 0 0 0 0 C G 9 E 0 
0 0 8 E B 0 0 0 0 0 0 0 C 2 0 0 
8 0 0 0 0 0 0 0 E 0 6 0 4 B 0 0 
C E 3 F 6 0 0 0 2 0 0 9 0 A 0 0 
0 0 0 0 1 0 8 B 0 0 C 0 0 0 0 5 
1 0 6 0 2 A 0 0 D 0 0 0 0 0 0 3 
F 0 0 8 0 0 0 0 0 0 0 1 0 0 D 0 
9 C A 5 0 3 0 F 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 5 0 G 0 0 E 0 7 0 0 
7 1 0 0 C 0 6 0 0 A 0 0 9 0 5 8 
0 0 0 9 E 0 B C 0 8 0 0 0 0 0 F 
0 0 0 0 0 0 4 0 1 C 7 0 0 0 0 0 
0 0 2 0 A 0 0 D F 0 0 0 0 0 0 G 
0 5 B 6 0 0 G 0 0 0 0 2 E 0 0 0 
