16
0 E 0 0 F 1 0 B 0 0 0 0 D 0 0 8 
0 3 0 6 0 G 0 0 0 0 0 0 0 7 A E 
0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 
7 0 0 5 0 0 0 C A 2 0 3 0 6 0 0 
8 0 C 4 0 0 0 0 G 7 1 5 2 0 0 0 
9 0 0 0 0 0 5 0 0 0 0 0 0 0 1 0 
0 0 1 2 0 D 0 0 0 0 0 0 F 0 3 0 
0 0 0 D A 0 0 2 0 0 0 B 8 5 0 C 
0 0 0 0 7 E 0 D 0 B 0 0 5 0 0 0 
2 0 6 0 0 B 0 0 0 C A 1 0 0 D 7 
0 0 0 0 0 0 0 8 0 F 9 0 0 C 0 0 
0 B 0 A 4 0 0 1 2 6 0 0 0 F 0 0 
E 0 0 0 0 0 0 9 4 0 0 0 0 0 0 0 
0 6 0 0 8 7 E 0 0 0 0 0 4 0 9 0 
0 0 9 0 0 0 A G 0 0 2 D C 0 0 B 
0 0 F 0 0 0 0 0 0 1 3 C 0 0 8 0 
