16
9 0 0 0 0 0 6 0 B 0 0 D 4 8 0 0 
4 7 0 0 F 8 0 0 G 0 0 2 0 0 E C 
8 0 0 0 0 7 A 0 0 1 0 0 F 3 0 0 
0 0 F 6 0 0 0 B 0 9 5 0 2 0 0 0 
0 3 0 C 0 9 0 0 0 0 0 0 0 4 0 7 
0 B 0 0 0 0 0 0 0 C 0 6 0 0 0 0 
0 9 0 0 8 0 1 7 0 4 0 0 B 0 G E 
0 0 4 G 0 F 5 C 0 3 1 0 8 0 0 0 
0 6 0 0 0 4 C 0 3 8 0 0 E 2 0 5 
0 0 3 0 0 0 0 2 D 0 E 0 0 7 0 0 
0 0 0 F 0 G 0 0 0 0 4 9 0 0 0 3 
E 0 0 0 0 0 0 0 2 0 0 7 9 0 8 0 
6 0 0 3 0 5 2 E 0 0 0 0 0 0 0 0 
0 8 0 0 D 0 0 4 A 0 0 G C 0 5 0 
0 0 5 4 0 0 0 0 0 0 D 0 7 0 0 0 
C 2 0 0 0 6 0 0 0 E 9 F 0 0 0 A 
