16
0 2 0 0 0 8 0 A 9 0 0 1 0 0 4 0 
0 0 0 E 2 0 0 0 8 0 0 0 0 0 5 B 
G 0 7 0 0 0 0 0 0 0 0 0 6 0 0 8 
A 0 0 0 D 6 9 4 0 E B 0 0 0 0 0 
5 0 0 0 4 C 1 0 D 0 0 0 0 7 0 0 
0 C 0 0 3 7 0 0 2 F 0 0 1 0 0 0 
0 0 9 0 0 G 0 0 B 0 0 A 0 3 0 0 
E 8 0 0 5 0 0 9 1 C 0 0 0 0 0 D 
0 0 E 4 B 0 0 0 0 0 0 G A F C 0 
0 0 0 0 0 A 0 0 0 0 0 0 0 1 B 0 
0 0 0 G 0 F 0 0 C 0 1 0 0 0 0 4 
9 5 0 B 0 0 0 0 4 7 0 3 G 0 0 0 
0 0 C 0 0 0 6 0 0 0 9 0 0 B 7 0 
D 0 0 0 0 1 0 E 0 3 0 0 9 0 F 0 
3 B 4 A 0 0 0 0 0 0 2 8 0 0 0 C 
0 1 0 0 0 0 C 8 0 0 0 0 0 0 6 0 
