16
0 0 A 0 0 C 0 0 0 9 0 0 7 E 0 8 
E 0 0 0 0 9 1 6 3 0 0 4 0 D 0 0 
D 0 0 4 0 0 0 0 0 0 0 B 0 9 0 0 
0 0 8 5 0 B 0 3 C A 0 1 G 0 0 0 
0 0 4 0 0 6 0 0 0 0 0 7 0 0 0 0 
0 0 0 2 A 0 0 0 0 0 1 0 C 7 0 0 
0 A 0 D 0 0 E G 9 F 0 0 0 0 0 1 
9 0 0 0 0 0 0 2 0 8 A 0 B 0 G F 
0 0 0 0 0 0 0 0 F E 0 C 0 A 0 0 
B 0 E 0 0 0 5 0 D 0 0 0 4 0 8 3 
0 5 0 0 1 0 8 0 0 0 6 0 0 0 0 0 
G 0 6 0 7 F 0 0 0 0 9 0 5 0 0 0 
0 0 0 0 3 2 0 0 G 0 0 5 0 0 0 D 
8 E G 0 0 1 0 0 0 C 0 0 2 0 9 0 
0 0 9 0 0 0 B 0 0 0 0 0 A 0 F 0 
F 0 2 0 0 0 C 4 0 B 0 0 0 8 0 0 
