16
1 8 7 0 0 0 0 5 A 0 0 0 0 0 0 4 
0 0 0 0 B F 0 4 0 6 3 0 0 0 0 0 
D 0 0 0 0 0 1 0 0 0 0 C 0 7 0 0 
F 0 0 0 0 7 0 0 2 G 0 4 3 0 0 0 
0 0 B 0 3 E 0 0 0 5 0 0 9 1 0 0 
0 0 0 C 0 8 0 0 B 0 2 0 E 0 4 G 
5 0 E 0 0 0 0 0 0 0 0 0 6 C 0 0 
0 0 0 0 F 0 0 1 0 9 0 3 7 0 0 0 
G 6 0 E 0 0 7 A C 0 0 0 0 0 8 B 
C 0 0 2 0 0 D 0 5 0 B 0 0 A 0 0 
0 0 0 5 0 0 4 3 0 1 0 0 C 6 0 0 
0 D 0 9 0 5 0 0 0 0 0 0 0 4 0 2 
0 B 0 6 E D 0 9 G 0 0 0 0 0 2 0 
0 0 0 0 0 0 C 0 0 2 0 0 0 0 0 F 
E 5 0 0 G 0 2 0 1 3 0 A 0 0 0 D 
3 0 0 0 0 0 0 B 7 0 0 8 0 0 6 0 
